episode,reward,success,step,cost,action_list
0,-1003.6376636405945,,372,,
1,-3.7533527648925773,,500,,
2,-1002.9729558151245,,283,,
3,-1003.6331570960999,,393,,
4,-1003.5110060447693,,352,,
5,-1003.2552958763123,,341,,
6,-4.308386249542239,,500,,
7,-1003.4326476638795,,358,,
8,-1002.7464832237243,,263,,
9,-1002.9452721435547,,288,,
10,-3.7755799158096317,,500,,
11,-3.972120027923582,,500,,
12,996.6120398075103,,495,,
13,-1003.1505483718872,,303,,
14,996.8895146399499,,445,,
15,-3.7925922571182267,,500,,
16,-4.286078932189941,,500,,
17,-1003.8471182182312,,430,,
18,-4.119111828994752,,500,,
19,-3.8059011787414527,,500,,
20,-4.619023553466796,,500,,
21,-3.774651766204837,,500,,
22,-3.8630956298828103,,500,,
23,-1003.2720946586609,,335,,
24,-3.6312522014617974,,500,,
25,-4.465706628417967,,500,,
26,-3.474672548675533,,500,,
27,-1002.6524721679688,,249,,
28,-3.7479262832641576,,500,,
29,-1004.1700918777466,,480,,
30,-3.9120218172073367,,500,,
31,-4.2011307556152335,,500,,
32,-3.750945116996766,,500,,
33,-1002.6578494247436,,241,,
34,-4.725730748367312,,500,,
35,-1003.3517916450501,,331,,
36,-3.733619475364685,,500,,
37,-4.1092441043853745,,500,,
38,-1002.9221720222474,,282,,
39,-4.271234213256838,,500,,
40,-1003.2898914245604,,318,,
41,-3.1605970268249504,,500,,
42,-3.6904853610992387,,500,,
43,-4.181766538619999,,500,,
44,-1002.7986931388855,,265,,
45,-3.8724513738632202,,500,,
46,-1003.4437270019532,,346,,
47,-1000.1252802803039,,11,,
48,-3.559993656730652,,500,,
49,996.6888476696968,,470,,
50,-3.9509811771392807,,500,,
51,996.541128064251,,469,,
52,-3.6457257314682026,,500,,
53,-3.7535726497650117,,500,,
54,-3.647557535552977,,500,,
55,-3.6119960264205884,,500,,
56,-4.142074777221676,,500,,
57,-1003.8921401145935,,406,,
58,-4.642007356643677,,500,,
59,-1000.1267388572693,,11,,
60,-3.9024000919342012,,500,,
61,-4.126064416503906,,500,,
62,-3.838426885414123,,500,,
63,-1000.2391205177307,,21,,
64,-1002.6951698677062,,257,,
65,996.3967165832519,,487,,
66,996.9954513528824,,444,,
67,-3.887196990203857,,500,,
68,-4.1608147743225095,,500,,
69,-3.5341410373687747,,500,,
70,-4.257948925781249,,500,,
71,-3.5064178182601937,,500,,
72,-4.528771836853034,,500,,
73,-1003.6098057815552,,368,,
74,-3.804385560035705,,500,,
75,-3.7596035472869893,,500,,
76,-4.390656241607664,,500,,
77,-3.93723318824768,,500,,
78,-4.103293060302733,,500,,
79,-3.5481370456695616,,500,,
80,-3.905726657104493,,500,,
81,-3.91955437850952,,500,,
82,-3.439593846893311,,500,,
83,996.348636723423,,496,,
84,996.7676063087463,,438,,
85,-4.194771013641356,,500,,
86,-3.9456983776092516,,500,,
87,-3.6812236934661864,,500,,
88,-1002.8366724479674,,264,,
89,-3.7260672580719056,,500,,
90,996.4886411174774,,490,,
91,-3.8980579627990797,,500,,
92,-4.646971440887451,,500,,
93,-3.4913262432098366,,500,,
94,996.2042645637512,,497,,
95,-3.6865072689056415,,500,,
96,-4.052548945236211,,500,,
97,996.5795922021866,,457,,
98,-4.103505277252196,,500,,
99,-3.991716672515867,,500,,
